1,1,0,0,1,0,1,0,1,0,2
2,1,0,0,1,0,1,0,0,1,0
3,1,0,0,1,0,0,1,1,0,2
4,1,0,0,1,0,0,1,0,1,1
5,1,0,0,0,1,1,0,1,0,2
6,1,0,0,0,1,1,0,0,1,0
7,1,0,0,0,1,0,1,1,0,2
8,1,0,0,0,1,0,1,0,1,1
9,0,1,0,1,0,1,0,1,0,2
10,0,1,0,1,0,1,0,0,1,0
11,0,1,0,1,0,0,1,1,0,2
12,0,1,0,1,0,0,1,0,1,1
13,0,1,0,0,1,1,0,1,0,2
14,0,1,0,0,1,1,0,0,1,0
15,0,1,0,0,1,0,1,1,0,2
16,0,1,0,0,1,0,1,0,1,2
17,0,0,1,1,0,1,0,1,0,2
18,0,0,1,1,0,1,0,0,1,2
19,0,0,1,1,0,0,1,1,0,2
20,0,0,1,1,0,0,1,0,1,1
21,0,0,1,0,1,1,0,1,0,2
22,0,0,1,0,1,1,0,0,1,0
23,0,0,1,0,1,0,1,1,0,2
24,0,0,1,0,1,0,1,0,1,2
